flattery	"아첨, 감언"
companionship	"교우, 교제"
conservation	"보존, 보호"
burial	"매장, 토장"
sentiment	"감정, 감상"
endosymbiosis	내부 공생
stump	그루터기
suck	"빨다, 빨아 먹다(마시다)"
unanimous	"합의의, 만장일치의"
confuse	"혼동하다, 어리둥절하게"
emergence	"출현, 발생, 개화"
manifest	"명백한, 분명히 나타난"
meditation	"명상, 심사숙고"
auditory	"귀의, 청각의"
charter	"헌장, 선언문, 인가서"
mischievous	"짓궂은, 장난이 심한, 개국쟁이의"
death toll	"(사고, 전쟁 등의) 사망자 수"
emancipate	"해방시키다, 석방하다"
underneath	"~의 아래에, 밑면에"
confidential	"기밀의, 비밀의"
thesis	"논문, 작물"
obstruction	"방해물, 장애물"
lay egg	알을 낳다
ardent	"불타는 듯한, 열렬한"
maritime	"바다의, 해양의, 해안의"
tactics	"전략, 작전(행동)"
captivity	"감금, 억류"
depot	"창고, 보급소"
rehabilitate	"원상으로 복구하다, 부흥하다"
upturn	"위로 향하게 하다, 파헤치다, 전복, 상승"
transcript	"사본, 복사, 녹취록"
complexion	"안색, 외관"
booth	"노점, 매점, 칸막이 좌석"
allegiance	"충성, 출정, 충직"
perspective	"원근법, 전망, 견해, 관점"
pledge	"맹세, 약속, 담보, 보증, 맹세하다"
elongate	"연장하다, 늘이다"
distress	"괴롭히다, 슬프게 하다, 곤란, 괴롭힘"
chamber	"방, 회의실"
disapprove	"안 된다고 하다, 찬성하지 않다"
succint	"간결한, 간단 명료한"
lifelong education	평생교육
behalf	"이익, 원조, 지지"
vice	"악덕, 부도덕, 결함"
